पुस्तकाचे नाव,लेखक,प्रकाशक,मूळ किंमत,सवलतीतील किंमत
चार नगरांतले माझे विश्व,जयंत विष्णु नारळीकर,मौज,1000,850
चकवाचांदण,मारुती चितमपल्ली,मौज,1000,850
सॉल्स्टिस ऍट पानिपत - १४ जानेवारी १७६१,उदय स. कुलकर्णी / विजय बापये,मुळा-मुठा,495,396
वो भुली दास्ताँ,द्वारकानाथ संझगिरी,मॅजेस्टिक,250,200
वीर योद्धा अर्जुन,प्रणव सखदेव,रोहन प्रकाशन,250,200
हिंदु मंदिर कोश,प्रदीप म्हैसेकर,प्रसाद,900,765
हिंदुस्थानी संगीत पद्धती,पं. विष्णु नारायण भातखंडे,पॉप्युलर,4000,3000
दुर्दम्य,गंगाधर गाडगीळ,पॉप्युलर,1100,880
अंतराळातील भस्मासुर,जयंत नारळीकर,श्रीविद्या,240,195
वारसा,मीना प्रभू,पुरंदरे,500,425
मार्गस्थ,बा. भो. शास्त्री,आदित्य,200,150
दहा सार्थ उपनिषदे,हरि रघुनाथ भागवत,वरदा,500,375
तर.. अशी सारी गंमत,चित्रा पालेकर,मॅजेस्टिक,700,560
आपले विचारविश्व,के. रं. शिरवाडकर,राजहंस,600,450
मुस्लिम मनाचा शोध,शेषराव मोर,राजहंस प्रकाशन,1000,750
युद्ध नाकारणारे जग,संदीप वासलेकर,राजहंस प्रकाशन,500,375
एकूण कविता (दि. पु. चित्रे),दिलीप पुरुषोत्तम चित्रे,पॉप्युलर,1500,1125
स्मृतिचित्रे,लक्ष्मीबाई टिळक,वरदा,400,300
सिंहायन : पाच तपांचे पर्व,डॉ. प्रतापसिंह जाधव,पुढारी,800,600
कादंबरीमय शिवकाल,गोपाल नीलकंठ दांडेकर,मृण्मयी,1250,940
मॅडम कमिशनर,मीरां चढ्ढा बोरवणकर / सायली गोडसे,PAN Macmillan,399,320
छत्रपती राजाराम महाराज,श्री. वा. सी. बेंद्रे,मराठीदेशा,1300,975
दर्यादिल दारा शिकोह,काका विधाते,प्रफुलत्ता प्रकाशन,780,585
समग्र र.धों. कर्वे,र.धों. कर्वे / डॉ. अनंत देशमुख,पद्मगंधा,2870,2155
चित्रमय स्वगत,पु. ल. देशपांडे,मौज,2500,1950
